checked_at_utc,Town,Field,Original URL,OK,Status,Final URL,Soft404,Elapsed ms,Error
2026-01-20T16:24:11.719710+00:00,Beacon Falls,Application Form URL,https://www.beaconfalls-ct.org/sites/g/files/vyhlif4141/f/pages/town_of_beacon_falls_employment_application.docx,False,404,https://www.beaconfalls-ct.org/sites/g/files/vyhlif4141/f/pages/town_of_beacon_falls_employment_application.docx,False,5191,
2026-01-20T16:24:11.719710+00:00,Andover,Employment Page URL,https://www.andoverconnecticut.org/employment-volunteer-opportunities,False,403,https://www.andoverconnecticut.org/employment-volunteer-opportunities,False,5339,
2026-01-20T16:24:11.719710+00:00,Andover,Application Form URL,https://www.andoverconnecticut.org/employment-volunteer-opportunities/files/employment-application-revised-111620,False,403,https://www.andoverconnecticut.org/employment-volunteer-opportunities/files/employment-application-revised-111620,False,5351,
2026-01-20T16:24:11.719710+00:00,Bolton,Employment Page URL,https://www.boltonct.gov/employment,False,200,https://www.boltonct.gov/employment,True,5884,
2026-01-20T16:24:11.719710+00:00,Beacon Falls,Employment Page URL,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,False,404,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,False,6049,
2026-01-20T16:24:11.719710+00:00,Brooklyn,Employment Page URL,https://www.brooklynct.org/home/pages/employment-opportunities,False,403,https://www.brooklynct.org/home/pages/employment-opportunities,False,7000,
2026-01-20T16:24:11.719710+00:00,Brookfield,Employment Page URL,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,False,404,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,False,7261,
2026-01-20T16:24:11.719710+00:00,Canterbury,Employment Page URL,https://www.canterburyct.org/jobs,False,403,https://www.canterburyct.org/jobs,False,7300,
2026-01-20T16:24:11.719710+00:00,Chester,Employment Page URL,https://www.chesterct.org/about-chester/pages/employment,False,403,https://www.chesterct.org/about-chester/pages/employment,False,6131,
2026-01-20T16:24:11.719710+00:00,Cromwell,Employment Page URL,https://www.cromwellct.com/human-resources/pages/current-employment-opportunities,False,403,https://www.cromwellct.com/human-resources/pages/current-employment-opportunities,False,6177,
2026-01-20T16:24:11.719710+00:00,Cromwell,Application Form URL,https://www.cromwellct.com/human-resources/files/town-cromwell-application-0,False,403,https://www.cromwellct.com/human-resources/files/town-cromwell-application-0,False,6278,
2026-01-20T16:24:11.719710+00:00,Deep River,Application Form URL,https://www.deepriverct.us/selectmens-office/files/employment-application-0,False,403,https://www.deepriverct.us/selectmens-office/files/employment-application-0,False,5877,
2026-01-20T16:24:11.719710+00:00,Deep River,Employment Page URL,https://www.deepriverct.us/jobs-bids-and-rfps,False,403,https://www.deepriverct.us/jobs-bids-and-rfps,False,6330,
2026-01-20T16:24:11.719710+00:00,East Hampton,Application Form URL,https://www.easthamptonct.gov/human-resources/files/job-application,False,404,https://www.easthamptonct.gov/human-resources/files/job-application,False,5950,
