town,action,reason,changed_fields,timestamp
Salem,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Salisbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Scotland,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Seymour,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Sharon,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Shelton,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Sherman,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Simsbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Somers,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
South Windsor,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Southbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Southington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Sprague,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Stafford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Stamford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Sterling,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Stonington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Stratford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Suffield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Thomaston,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Thompson,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Tolland,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Torrington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Trumbull,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Union,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Vernon,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Voluntown,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Wallingford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Warren,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Washington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Waterbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Waterford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Watertown,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
West Hartford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
West Haven,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Westbrook,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Weston,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Westport,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Wethersfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Willington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Wilton,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Winchester,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Windham,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Windsor,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Windsor Locks,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Wolcott,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Woodbridge,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Woodbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Woodstock,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
