checked_at,Town,field_name,original_url,final_url,status_code,redirected,soft404,validation_status,error,elapsed_ms,checked_at_utc,Field,Original URL,Final URL,Status,Soft404,OK
2026-04-17T17:33:51.186210+00:00,Durham,application_form,https://cdn.prod.website-files.com/63d982687277ef4cf385a8e7/6480bf3f9742630ac2e34c47_APPLICATION_FOR_EMPLOYMENT_FORM_fillable_rev_March_2014.doc,https://cdn.prod.website-files.com/63d982687277ef4cf385a8e7/6480bf3f9742630ac2e34c47_APPLICATION_FOR_EMPLOYMENT_FORM_fillable_rev_March_2014.doc,200,False,False,working,,8207,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://cdn.prod.website-files.com/63d982687277ef4cf385a8e7/6480bf3f9742630ac2e34c47_APPLICATION_FOR_EMPLOYMENT_FORM_fillable_rev_March_2014.doc,https://cdn.prod.website-files.com/63d982687277ef4cf385a8e7/6480bf3f9742630ac2e34c47_APPLICATION_FOR_EMPLOYMENT_FORM_fillable_rev_March_2014.doc,200,False,True
2026-04-17T17:33:51.186210+00:00,Durham,employment_page,https://www.townofdurhamct.org/job-openings,https://www.townofdurhamct.org/job-openings,200,False,False,working,,8786,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.townofdurhamct.org/job-openings,https://www.townofdurhamct.org/job-openings,200,False,True
2026-04-17T17:33:51.186210+00:00,East Granby,application_form,https://eastgranbyct.org/wp-content/uploads/2024/09/Job-Application.pdf,https://eastgranbyct.org/wp-content/uploads/2024/09/Job-Application.pdf,200,False,False,working,,8526,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://eastgranbyct.org/wp-content/uploads/2024/09/Job-Application.pdf,https://eastgranbyct.org/wp-content/uploads/2024/09/Job-Application.pdf,200,False,True
2026-04-17T17:33:51.186210+00:00,Derby,employment_page,https://www.derbyct.gov/jobs,https://www.derbyct.gov/jobs,200,False,False,working,,9643,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.derbyct.gov/jobs,https://www.derbyct.gov/jobs,200,False,True
2026-04-17T17:33:51.186210+00:00,East Granby,employment_page,https://eastgranbyct.org/employment-opportunities/,https://eastgranbyct.org/employment-opportunities/,200,False,False,working,,9370,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://eastgranbyct.org/employment-opportunities/,https://eastgranbyct.org/employment-opportunities/,200,False,True
2026-04-17T17:33:51.186210+00:00,East Haddam,employment_page,https://www.easthaddam.org/jobs,https://www.easthaddam.org/jobs,200,False,False,working,,9217,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.easthaddam.org/jobs,https://www.easthaddam.org/jobs,200,False,True
2026-04-17T17:33:51.186210+00:00,East Haddam,application_form,https://www.easthaddam.org/evo_jobs_paper_application_download/1317/,https://www.easthaddam.org/evo_jobs_paper_application_download/1317/,200,False,False,working,,9382,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://www.easthaddam.org/evo_jobs_paper_application_download/1317/,https://www.easthaddam.org/evo_jobs_paper_application_download/1317/,200,False,True
2026-04-17T17:33:51.186210+00:00,East Hampton,employment_page,https://easthamptonct.gov/1281/Job-Openings,https://easthamptonct.gov/1281/Job-Openings,200,False,False,working,,9314,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://easthamptonct.gov/1281/Job-Openings,https://easthamptonct.gov/1281/Job-Openings,200,False,True
2026-04-17T17:33:51.186210+00:00,East Hampton,application_form,https://easthamptonct.gov/DocumentCenter/View/951/Employment-Application-2-6-2019-PDF,https://easthamptonct.gov/DocumentCenter/View/951/Employment-Application-2-6-2019-PDF,200,False,False,working,,10331,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://easthamptonct.gov/DocumentCenter/View/951/Employment-Application-2-6-2019-PDF,https://easthamptonct.gov/DocumentCenter/View/951/Employment-Application-2-6-2019-PDF,200,False,True
2026-04-17T17:33:51.186210+00:00,East Hartford,employment_page,https://www.governmentjobs.com/careers/easthartfordct,https://www.governmentjobs.com/careers/easthartfordct,200,False,False,working,,9774,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.governmentjobs.com/careers/easthartfordct,https://www.governmentjobs.com/careers/easthartfordct,200,False,True
